Model,LogForm,ScoreType,ScoreValue,max_depth,learning_rate,n_estimators,columns
Histogram-based Gradient Boosting Regressor,False,MdAPE,0.09712923280267399,6.0,0.25,,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'YearBuilt', 'LivingArea/DaysOnMarket', 'ViewYN_True', 'PoolPrivateYN_True', 'ViewYN_False', 'DaysOnMarket']"
Histogram-based Gradient Boosting Regressor,True,MdAPE,0.00643929457407293,6.0,0.25,,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'LotSizeSquareFeet', 'BathroomsTotalInteger', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LivingArea/DaysOnMarket', 'YearBuilt', 'PoolPrivateYN_False', 'LotSizeSquareFeet/DaysOnMarket', 'LivingArea/LotSizeSquareFeet', 'NewConstructionYN_True', 'DaysOnMarket', 'PoolPrivateYN_True']"
Histogram-based Gradient Boosting Regressor,False,R2 Score,0.8177,6.0,0.25,,"['LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'DistrictID', 'AvgAreaLot', 'BedroomsTotal', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True']"
Histogram-based Gradient Boosting Regressor,True,R2 Score,0.9289,6.0,0.25,,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'DaysOnMarket', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True']"
LightGBM,False,MAPE,0.16198502964184652,3.0,0.25,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'BathroomsTotalInteger', 'AvgAreaLot', 'BedroomsTotal', 'BathroomsTotalInteger/BedroomsTotal', 'FireplaceYN_False', 'FireplaceYN_True', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'NewConstructionYN_False', 'NewConstructionYN_True', 'ViewYN_False']"
LightGBM,True,MAPE,0.009079859412118457,6.0,0.25,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket']"
LightGBM,False,MdAPE,0.10963737626270306,3.0,0.25,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_True', 'FireplaceYN_False', 'LivingArea/LotSizeSquareFeet', 'YearBuilt', 'LivingArea/DaysOnMarket', 'ViewYN_True', 'ViewYN_False', 'PoolPrivateYN_True', 'DaysOnMarket']"
LightGBM,True,MdAPE,0.006414934757420944,6.0,0.25,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'LotSizeSquareFeet', 'LivingArea', 'BathroomsTotalInteger', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LivingArea/DaysOnMarket', 'YearBuilt', 'PoolPrivateYN_False']"
LightGBM,False,R2 Score,0.7989,3.0,0.25,200.0,"['LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'AvgAreaLot', 'BedroomsTotal', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'LotSizeSquareFeet/DaysOnMarket', 'SaleMonth']"
LightGBM,True,R2 Score,0.9308,6.0,0.25,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'DaysOnMarket', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'SaleMonth']"
Linear Regression,False,MAPE,0.27025864619321427,,,,['AvgAreaCost']
Linear Regression,True,MAPE,0.010784606576416963,,,,"['AvgAreaCost', 'LivingArea', 'BathroomsTotalInteger', 'AvgLivingArea', 'BedroomsTotal', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'BathroomsTotalInteger/BedroomsTotal', 'AvgAreaLot', 'LivingArea/LotSizeSquareFeet', 'DistrictID', 'PoolPrivateYN_True', 'PostalCode', 'LotSizeSquareFeet/DaysOnMarket', 'LotSizeSquareFeet', 'NewConstructionYN_True', 'DaysOnMarket', 'YearBuilt', 'ViewYN_False', 'ViewYN_True', 'NewConstructionYN_False']"
Linear Regression,False,MdAPE,0.17999901419140396,,,,['AvgAreaCost']
Linear Regression,True,MdAPE,0.007896165158425466,,,,"['AvgAreaCost', 'LivingArea', 'FireplaceYN_False', 'FireplaceYN_True', 'AvgLivingArea', 'BathroomsTotalInteger', 'BedroomsTotal', 'LivingArea/DaysOnMarket', 'AvgAreaLot', 'PoolPrivateYN_False', 'BathroomsTotalInteger/BedroomsTotal', 'NewConstructionYN_True', 'DistrictID', 'LivingArea/LotSizeSquareFeet', 'LotSizeSquareFeet/DaysOnMarket', 'LotSizeSquareFeet', 'YearBuilt', 'DaysOnMarket', 'PoolPrivateYN_True', 'SaleMonth', 'PostalCode', 'ViewYN_False', 'ViewYN_True']"
Linear Regression,False,R2 Score,0.7109652725446679,,,,"['AvgAreaCost', 'LivingArea', 'BathroomsTotalInteger', 'AvgLivingArea', 'BedroomsTotal', 'BathroomsTotalInteger/BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'PostalCode', 'LivingArea/DaysOnMarket', 'ViewYN_True', 'DistrictID', 'ViewYN_False', 'DaysOnMarket', 'AvgAreaLot', 'NewConstructionYN_True', 'YearBuilt', 'SaleMonth']"
Linear Regression,True,R2 Score,0.9014401313650968,,,,"['AvgAreaCost', 'LivingArea', 'BathroomsTotalInteger', 'AvgLivingArea', 'BedroomsTotal', 'BathroomsTotalInteger/BedroomsTotal', 'PoolPrivateYN_False', 'LivingArea/DaysOnMarket', 'FireplaceYN_False', 'FireplaceYN_True', 'AvgAreaLot', 'LivingArea/LotSizeSquareFeet', 'DistrictID', 'PoolPrivateYN_True', 'PostalCode', 'LotSizeSquareFeet/DaysOnMarket', 'LotSizeSquareFeet', 'DaysOnMarket', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'NewConstructionYN_False']"
Random Forest Regressor,False,MAPE,0.12898740260883484,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'PoolPrivateYN_True', 'YearBuilt', 'NewConstructionYN_False', 'NewConstructionYN_True', 'LivingArea/DaysOnMarket', 'ViewYN_False', 'ViewYN_True', 'DaysOnMarket']"
Random Forest Regressor,True,MAPE,0.00893195040903532,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'YearBuilt', 'PoolPrivateYN_True', 'NewConstructionYN_True', 'DaysOnMarket', 'ViewYN_False', 'ViewYN_True', 'NewConstructionYN_False', 'SaleMonth', 'LotSizeSquareFeet/DaysOnMarket']"
Random Forest Regressor,False,MdAPE,0.08216626712864095,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'LotSizeSquareFeet', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet/DaysOnMarket', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'PoolPrivateYN_True', 'DaysOnMarket']"
Random Forest Regressor,True,MdAPE,0.006086670917710404,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'LotSizeSquareFeet', 'BathroomsTotalInteger', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'YearBuilt', 'PoolPrivateYN_False', 'NewConstructionYN_True', 'DaysOnMarket', 'PoolPrivateYN_True', 'ViewYN_False', 'ViewYN_True']"
Random Forest Regressor,False,R2 Score,0.8098721489615639,,,,"['AvgAreaCost', 'AvgLivingArea', 'PostalCode', 'AvgAreaLot', 'BathroomsTotalInteger', 'LivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'SaleMonth', 'NewConstructionYN_True', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet']"
Random Forest Regressor,True,R2 Score,0.9264331316842542,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LotSizeSquareFeet', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'SaleMonth', 'NewConstructionYN_False', 'DaysOnMarket', 'LivingArea/DaysOnMarket', 'LotSizeSquareFeet/DaysOnMarket']"
XGBoost,False,MAPE,0.14040350664837756,6.0,0.5,50.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'NewConstructionYN_False', 'NewConstructionYN_True', 'ViewYN_False', 'ViewYN_True', 'DaysOnMarket']"
XGBoost,True,MAPE,0.008634118607343986,9.0,0.1,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'PoolPrivateYN_True', 'DaysOnMarket', 'NewConstructionYN_True', 'ViewYN_False']"
XGBoost,False,MdAPE,0.09178101868084775,6.0,0.5,50.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'FireplaceYN_True', 'FireplaceYN_False', 'YearBuilt', 'LivingArea/DaysOnMarket', 'ViewYN_True', 'ViewYN_False', 'PoolPrivateYN_True', 'DaysOnMarket', 'NewConstructionYN_True', 'NewConstructionYN_False']"
XGBoost,True,MdAPE,0.005940241199524616,9.0,0.1,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'LotSizeSquareFeet', 'LivingArea', 'BathroomsTotalInteger', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LivingArea/DaysOnMarket', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'NewConstructionYN_True', 'DaysOnMarket', 'PoolPrivateYN_True']"
XGBoost,False,R2 Score,0.8269,6.0,0.5,50.0,"['LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'AvgAreaLot', 'BedroomsTotal', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False']"
XGBoost,True,R2 Score,0.9315,9.0,0.1,200.0,"['AvgAreaCost', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'DaysOnMarket', 'ViewYN_False']"
